output_layer openai_gym input_neuron dot_product sigmoid_activation_function 
loss_function deep_network let's_say chess_program weight_vector 
local_search_algorithm word_vector solution_space different_way hill_climb_algorithm 
spam_filter information_science neural_network_architecture statistical_model algorithmic_approach 
speech_recognition natural_language open_source speech_api information_extraction 
information_science computer_science artificial_intelligence open_source_project probability_theory 
make_decision short_answer self_aware many_others ask_question 
data_augmentation game_tree lee_sedol solution_space control_system 
ask_question formal_logic control_problem finite_time human_intelligence 
move_right next_state enough_information value_function solution_space 
final_layer software_architecture artifical_intelligence particle_swarm_optimization target_value 
neural_network particle_swarm_optimization predict_whether linear_regression evaluation_function 
miss_value predict_whether data_set augment_data error_function 
feedback_loop word_2vec word_embeddings enough_information human_language 
binary_classification image_recognition value_function technique_call behaviour_policy 
activation_function input_layer output_node output_layer next_move 
self_awareness state_transition real_world domain_specific enough_time 
online_course use_python hard_problem prisoner's_dilemma partial_derivative 
waste_time mathematical_model stack_exchange brute_force beat_human 
game_tree discount_factor beat_human general_idea graph_theory 
policy_network receptive_field data_point translation_invariance target_output 
artificial_intelligence research_project natural_language model_free question_regard 
prime_number error_rate input_image desire_output neural_network 
human_interaction return_value classification_algorithm among_others theoretical_framework 
neural_computation possible_outcome binary_classification optimization_process cognitive_architecture 
cost_function real_time random_choice high_frequency genetic_algorithm 
high_level computer_scientist artificial_intelligence cognitive_ability optimization_algorithm 
neural_network hypothesis_space seq_2seq turing_test deep_neural_network 
output_neuron input_neuron random_value monte_carlo 1000_class 
black_hole mathematical_function mammalian_brain intelligent_behavior time_dependent 
large_scale computer_game base_upon simple_thing word_embed 
machine_learn neural_network long_term self_play non_linear 
simple_model transition_probability state_space direct_graph continuous_action_space 
anchor_box what's_happen question_involve user_interface stumble_upon 
cerebral_cortex previous_layer wikipedia_article computation_time output_vector 
sigmoid_activation_function convolution_layer convolutional_neural_network output_layer error_rate 
state_space complex_system user_interface convolutional_net many_way 
user_interface source_code low_level what's_happen simple_thing 
combinatorial_game artificial_intelligence mathematical_proof linear_algebra evolutionary_approach 
truth_label input_feature high_dimensional correct_answer relevant_information 
real_time high_level formal_logic computer_system game_engine 
objective_function brute_force prevent_overfitting accurate_result machine_learn 
quantum_computer sentiment_analysis label_data self_play time_step 
previous_experience momentum_term non_human geoffrey_hinton auto_encoder 
maximum_likelihood grid_search quantum_computer high_probability computer_vision 
max_min deep_learner weight_matrix train_example gradient_descent 
compute_resource character_level recurrent_neural_network min_max real_environment 
input_layer output_layer input_node real_value hide_layer 
validation_set dropout_layer bound_box test_data many_case 
computational_linguistics matrix_multiplication ensemble_method neural_network linear_classifier 
next_state control_system expect_reward next_reward evolutionary_game_theory 
chess_program low_value performance_measure true_gradient lee_sedol 
neural_net video_frame input_node validation_set deep_neural_net 
hide_layer conv_layer relu_activation input_variable softmax_layer 
quantum_level philosophical_question atari_game feature_extraction correct_answer 
relu_activation step_toward global_optimum local_optimum rule_base 
rational_agent artificial_neural_network error_correction algorithmic_intelligence monte_carlo 
mini_batch computational_power model_free knowledge_representation true_gradient 
research_area basic_idea find_anything use_policy_gradient high_speed 
external_environment problem_solve rule_base lee_sedol human_experience 
single_layer receptive_field input_channel many_people binary_number 
science_fiction human_visual_system data_scientist incompleteness_theorem law_enforcement 
linear_classifier input_variable discrete_mathematics graph_theory calculate_gradient 
neural_network input_feature output_layer standard_deviation output_value 
multi_dimensional search_tree random_weight output_value question_involve 
chess_program human_player paradigm_shift real_life artificial_intelligence 
float_point lstm_layer lstm_model network_architecture graph_theory 
operate_system open_source use_pytorch artificial_consciousness quantum_compute 
different_way many_case support_vector_machine calculate_gradient practical_computibility 
possible_outcome high_level start_node video_game real_world_problem 
player_game minimum_requirement computation_graph neural_network_architecture artificial_evolution 
minimum_requirement stack_exchange regression_model artificial_evolution human_activity 
player_game naive_bayesian computation_graph probability_distribution simpler_model 
attenuation_matrix signal_propagation exploration_rate root_node character_level 
reward_signal attenuation_matrix collision_avoidance enough_information simpler_model 
stack_exchange mail_sorter collision_avoidance convolution_layer minimum_requirement 
data_analysis high_performance web_framework linear_algebra data_flow 
john_von_neumann fermi_paradox regression_model human_activity intelligent_life 
stack_exchange negative_feedback long_term_memory attention_base_network linear_algebra 
rule_set data_acquisition run_time convolution_layer automate_vehicle 
hardware_acceleration computer_vision partial_derivative nervous_system specific_problem 
solve_problem general_knowledge dna_base computer_system business_intelligence 
game_play front_end vision_system hardware_acceleration nervous_system 
artificial_network vector_matrix_multiplication activation_function attention_mechanism test_case 
actual_value different_set generalize_well filter_kernel word_embed 
game_theory front_end learn_algorithm human_operator second_term 
base_upon computer_system feedback_loop object_recognition philosophical_question 
auto_encoders memory_cell time_domain activation_function connection_gene 
numerical_method carbon_emission dna_base philosophical_question game_play 
web_search time_space attention_mechanism specific_problem computer_system 
state_space search_space mario_kart computer_game internal_model 
neural_network hyper_parameters dqn_algorithm remain_constant utility_function 
augment_data lstm_rnn twentieth_century 100_time epsilon_greedy_policy 
activation_function output_layer time_stamp use_sigmoid_activation filter_size 
batch_normalization raw_data english_word linear_function full_set 
grammar_rule wonder_whether start_state search_tree stack_exchange 
fuzzy_logic intelligent_agent regular_expression artificial_intelligence nervous_system 
parameter_matrix span_class math_container high_value sigma_span 
search_algorithm start_state search_tree surpass_human constraint_satisfaction_problem 
human_driver surpass_human cell_type von_neumann's regular_expression 
logical_inference business_intelligence long_term turing's_imitation_game general_intelligence 
let's_assume standard_deviation general_problem_solver markov_chain feature_selection 
algorithmic_intelligence artificial_system information_theory game_theory natural_language 
real_number span_class input_channel word_embed output_value 
similar_thing game_theory web_search data_collection artificial_intelligence 
100_time maximum_value maximum_possible activation_map input_channel 
mammalian_brain pretrained_model generalize_well data_set simple_way 
information_theory search_strategy feature_extraction different_set input_output_pair 
general_problem_solver optimal_solution chess_player counter_example search_tree 
bound_box artificial_network let's_start claude_shannon data_center 
dna_base rule_set career_path general_rule cut_edge 
image_recognition career_path local_minimum adaptive_system graph_structure 
neural_network regression_problem test_data recognition_system current_state 
take_action compute_resource input_output_pair indicate_whether recognize_object 
biological_neuron weight_vector traffic_light random_move target_output 
search_strategy object_type counter_example high_level operate_system 
expert_system artificial_intelligence career_path autonomous_vehicle compute_power 
play_chess something_useful brute_force face_recognition travel_salesman_problem 
tree_search_algorithm make_sense operate_system electronic_brain lstm_cell 
video_frame digital_image artificial_consciousness recognize_object john_von_neumann 
