[0.47] ( 0.47; ) cognitive_system machine_learn high_school natural_language intelligent_system
[0.00] ( 0.00; ) genetic_algorithm convolutional_network deep_mind monte_carlo yoshua_bengio
[0.37] ( 0.37; ) word_vector language_model knowledge_base make_sense word_embeddings
[0.52] ( 0.52; ) output_layer sigmoid_activation_function openai_gym output_neuron dot_product
[0.65] ( 0.65; ) let's_say cross_validation data_set regression_model loss_function
[0.11] ( 0.11; ) natural_language data_science intelligent_agent andrew_ng's atari_game
[0.74] ( 0.74; ) move_right state_space next_state initial_state state_transition
[0.22] ( 0.22; ) human_behavior artificial_intelligence general_rule membership_function text_book
[0.31] ( 0.31; ) speech_recognition speech_api high_speed high_level base_approach
[0.00] ( 0.00; ) short_answer self_aware human_player ask_question self_awareness
[0.00] ( 0.00; ) real_time human_player sample_efficiency game_tree random_player
[0.15] ( 0.15; ) let's_say english_language wonder_whether voice_recognition cost_function
[0.15] ( 0.15; ) augment_data data_set high_performance computational_power data_distribution
[0.77] ( 0.77; ) sigmoid_activation_function deep_blue long_term_goal current_knowledge make_decision
[0.23] ( 0.23; ) output_layer output_node weight_age input_layer output_value
[-0.03] ( -0.03; ) neural_network natural_language tic_tac_toe brute_force artificial_intelligence
[0.00] ( 0.00; ) visual_cortex real_world brute_force_search low_level quantum_level
[0.53] ( 0.53; ) artificial_life genetic_algorithm artificial_intelligence evolutionary_game_theory combinatorial_game
[0.00] ( 0.00; ) feedback_loop natural_language marvin_minsky output_neuron short_term_memory
[0.08] ( 0.08; ) activation_function real_number standard_deviation miss_value small_change
[0.63] ( 0.63; ) loss_function linear_regression gradient_descent cost_function continuous_function
[0.02] ( 0.02; ) artificial_intelligence human_brain natural_language yann_lecun available_online
[0.06] ( 0.06; ) neural_net game_theory short_time neural_computation use_tensorflow
[0.14] ( 0.14; ) feature_extraction innovation_number genetic_algorithm connection_weight chat_bot
[0.51] ( 0.51; ) neural_network convolutional_neural_network image_recognition deep_neural_network input_data
[0.15] ( 0.15; ) natural_language reinforcement_learn open_source domain_specific computer_vision
[0.28] ( 0.28; ) digital_computer state_space negative_value stochastic_environment black_hole
[0.00] ( 0.00; ) network_topology artificial_neural_network facial_recognition neural_network_architecture genetic_algorithm
