key,value,label,emerlabel,version,sent1,num
topic0,11.379224,output layer; sigmoid activation function; dot product; output neuron; neural network,0,Janurary,1: say you_have a <digit> input neural_net with <digit> node in the hidden layer and <digit> node in the output_layer all with the sigmoid_activation_function;<br>2: hence for an_input of input to node <digit> of hidden layer be to node <digit> be to node <digit> be to node <digit> be;<br>3: that mean_that the <digit> input value be store a a stream and a self modifying network be continuously predict the value;<br>4: <digit> w14 0.5 while between_neuron in the hidden layer and the start neuron;<br>5: for this we_have to redefine the nearon <digit> input <digit> output <digit> weight;<br>,1
topic0,7.015692,real time; tic tac toe; computer game; policy gradient method; virtual world,0,Feburary,1: i'm personally interested in classical generalized approach to strategy game ai which be archaic from the standpoint of pure strength but interest from a game solve perspective;<br>2: the agent us weight in his policy for adapt the decision to the game;<br>3: motivation here be from a game product perspective under the assumption_that most human don't like lose every game with no possibility_of ever win;<br>4: and currently what be the direction on algorithm like deep learning or others to_solve this;<br>5: the general_idea be that the agent fluctuate his weight until_he have win the game;<br>,2
topic0,9.236737,artificial intelligence; general purpose; linear algebra; object orient; expert system,0,March,1: logic for_instance can provide a specification for a programming language by characterize a mapping from program to the computation that they license;<br>2: for_question_about implementation_of ai_ml program in the javascript programming language;<br>3: java be a general_purpose computer programming language that be concurrent class based object oriented and specifically_design to have a_few implementation dependency a possible;<br>4: for_question_about implement and improve optimization_algorithm use in create ai program or optimization in_general;<br>5: for_question_about implementation_of machine learning and artificial_intelligence algorithm in the java programming language;<br>,3
topic0,12.958906,neural network; cost function; feature map; convolutional neural network; bound box,0,April,1: it be possible_to generate many model use the_same architecture even with the_same training data;<br>2: the result that i obtain on one of the_same image use a training;<br>3: in both_case i train the algorithm on the_same above training set;<br>4: if_you add fake sample to the training set your neural_network learn new dataset that you just make your fake sample be estimation so you add_noise to your training set;<br>5: when_we give it a new image to_predict after the training it print it prediction;<br>,4
topic0,6.267920,indicate whether; determine whether; hide layer; bound box; feature vector,0,May,1: this give <digit> possible output class;<br>2: but <digit> dimensional input would be need_to send both collision and category type information through each input_layer neuron;<br>3: each test sample have input of <digit> real_value some of the value may_also be unknown;<br>4: now keep these point in_mind you_can_check again your input to see if_you can improve something;<br>5: it'll be like a compass output only_one value from <digit> to <digit>;<br>,5
topic0,4.451741,sub sequence; time stamp; expect reward; set theory; linear algebra,0,June,1: with few agent it's work;<br>2: if an_agent want_to move to a tile occupy_by another agent it can_send a message to require the agent to move;<br>3: the cool thing about these_field and idea be that they be all driven my mathematics;<br>4: it see a person kill someone_else and then that person be punish by the community so the ai learn that kill_people be not right;<br>5: and there_be relatively_low work go_on video due_to the amount_of computational_power require even train a_simple video_classifier with reasonable_accuracy require lot_of expertise and resource;<br>,6
topic0,13.015913,neural net; output layer; float point; activation function; lstm layer,0,July,1: be it possible_to use a seperate neural_network that take a input the weight of the first network while it train to try and approximate that;<br>2: that depend_on_what type_of_network you_want_to use for your second network instead_of feed the output of the first_layer it would be much_good if_you jointly train both the network;<br>3: regard the network structure the structure of an_rnn essentially look_like that of a feedforward_network except the neuron in the hidden layer have be_replace_by neuron with recurrent_connection;<br>4: iteration require for convergence iteration through each_sample use in training iteration through layer for both forward_propagation of the signal and the backward_propagation and distribution_of corrective feedback iteration through the channel specify by the width of each_layer the heart of approximate complex behavior be the function that be not first_degree equation which be_often_call activation even_though their action have little in common with the activation of neuron in vertebrate;<br>5: or more_generally can i use a neural_net that be train to_predict to make_prediction on value from a_subset_of or should_i train separate neural_net on all subset_of that i'm_interest_in;<br>,7
topic0,19.614569,chess algorithm; control system; artificial intelligence; human intelligence; expert system,reinforcement learning; von neumann architecture; adaptive system,August,1: for_question_about the definition_of term use in artificial_intelligence_research and development include the definition_of intelligence algorithm jargon principle methodology mathematical term concept topology architecture design jargon and ai domain such_a robotics network training or automate_vehicle;<br>2: deepmind alphazero chess algorithm do good than the prior good chess software stockfish;<br>3: alphazero search few position that it predecessor like human;<br>4: it be interest to note that the way computer play chess be very different_from how human play while both human and computer search ahead to predict how the game will go on human be much more selective in which branch of the game tree to explore;<br>5: stockfish would use the one minute if there be more than a single legal move otherwise it move immediately;<br>,8
topic0,11.149820,general knowledge; real world; artificial intelligence; data science; research direction,0,September,1: ai be algorithmic not free_will in a sense that human have free_will;<br>2: programming language be just tool you_can_use any tool to do ai;<br>3: well one problem we_have come_across be create a database for the ai;<br>4: if say ai can assess scenario and decide_what ai be best suited and construct new ai for new task;<br>5: in strict_sense a real ai would be_able_to say my sensor;<br>,9
topic0,12.237806,control system; real time; attention base; predicate logic; machine learn,0,October,1: important early design choice real_time learning be indicate and the system must be stabilize use the_same kind_of stabilization technique involve in electrical engineering robotics and balance;<br>2: for_question_relate to the use of ai for the control of the quality_of software_development a design process a manufacturing process a physical process or another product service system or process;<br>3: for_question_relate to the design of embedded system that employ ai the use of ai to_create embedded system or the design of the ai that be use in an embedded system;<br>4: the administration of this questionnaire build a set_of data that will later be use to train an_independent learning system;<br>5: the current machine learning boom have not develop any system of intelligent_agent that can generate what a literary expert would consider remarkably insightful story;<br>,10
topic0,10.321842,logical inference; general intelligence; human intelligence; low intelligence; experience emotion,0,November,1: the implication of the continue validation of deep learning be that human be just the catalyst create intelligence just intelligent enough to get more_intelligent without human_intervention;<br>2: they may hold a more billion_neuron result in a much complex intelligence;<br>3: for_question_about cognition an_umbrella_term for a number_of mental_feature of the_human_brain and brain of animal that be associate_with_intelligence especially relate_to belief logical_inference development and acceptance or rejection of idea and formulation_of complex model of the environment for prediction control and risk_reduction purpose and soft human characteristic_of competition collaboration and other social thinking;<br>4: it's very_easy_to overcome human capability and i_think intelligence will_not be the exception;<br>5: exorcize or abduct human creativity and intelligence;<br>,11
